country,description,employees,funding_stage,hq_address,linkedin_company,name_startup,operation_area,other_office,total_raised,verts_link,website_url,year_founded
Israel,Online Quote Optimization for Home Renovation,1-10,NA,"7 World Trade Center, 250 Greenwich St #7, New York, NY 10007, United States","https://www.linkedin.com/company/homazze/,https://www.facebook.com/Homaze-104974195292676/",Homaze,"HaUmanim Street 12, Tel Aviv-Yafo, Israel",,,"Virtual Tours,Residential,Image Processing,VR/AR",https://www.homazze.com/,2020
Israel,Indoor robotics develops fully autonomous indoor drone fleets and AI-based solutions for security and monitoring in smart buildings.,11-50,N / A,"Ramat-Gan, 5252007, IL","https://twitter.com/IndoorRobotics,https://www.linkedin.com/company/indoorrobotics/,https://www.facebook.com/indoorrobotics/",Indoor Robotics,Israel,,N / A,"Property Management,Manage & Operate,Data Analytics,Drones,GPS,Internet of Things (IoT),Location Analytics,Mapping,Property Management,Robotics,SecureTech,Security,Sensors",https://www.indoor-robotics.com/,2018
Israel,Property Management Reinvented,11-50,A,"824 San Antonio Rd, Palo Alto, California US","https://twitter.com/HelloHome365,https://www.linkedin.com/company/home365/,https://www.facebook.com/Home365PropertyManagement",Home365,United States,,$24M,"Property Management,Manage & Operate",Not available right now,2016
Global,Axonize makes large scale IoT projects easy by automating deployment at a fraction of the time and cost.,11-50,Acquired,"Tel Aviv, Israel","https://twitter.com/AxonizeIoT,https://www.linkedin.com/company/axonize/,https://www.facebook.com/axonizeIoT/",Axonize,Global,,$7.8M,"Property Management,Manage & Operate,Commercial,Industrial,Artificial Intelligence,Big Data,Browser-based application,Business Intelligence,CRM,Internet of Things (IoT),Predictive Analytics,Property Management,SaaS,Sensors,Smart Building,Smart City,Web Platform",https://axonize.com/,2016
Israel,Flytrex is building the world’s first drone based delivery service ,11-50,B,"Tel Aviv, Israel","https://twitter.com/flytrexcom,https://www.linkedin.com/company/flytrex/,https://facebook.com/flytrex",Flytrex,Europe,,$20.3M,"Manage & Operate,Residential,Drones",https://www.flytrex.com/,2013
Israel,Conqum specializes in providing construction management system solutions.,1-10,Bootstrapped,"Derech Akko 47, Kiryat Motzkin, Israel",https://www.linkedin.com/company/conqum-systems-ltd/,Conqum,Israel,,,"Safety & Training,Planning & Design Tools,Plan & Build,On-Site Execution,Management & Collaboration Tools,Commercial,General,Cloud,ConTech,Data Analytics,Real-time,task-management",https://www.conqum.com/about_eng,2016
Switzerland,"Archilogic’s platform empowers users to easily create, edit, and share 3D content for interiors.",11-50,NA,"Kanzleistrasse 126, Zürich, Zürich 8004, CH","https://twitter.com/archilogic,https://www.linkedin.com/company/archilogic-ag/,https://www.facebook.com/archilogic3d",Archilogic,Switzerland,,$9.3M,"Planning & Design Tools,Plan & Build,Commercial,Retail,3D Modeling,Artificial Intelligence,Big Data,BIM,Digital Twin,Internet of Things (IoT),Smart Building",https://www.archilogic.com/,2014
Israel,Urban Dashboard develops an AI-powered decision support platform for smarter and faster urban planning and design.,1-10,NA,"Herzliya , Israel",https://www.linkedin.com/company/urban-dashboard/,Urban Dashboard,Israel,,N / A,"Plan & Build,Management & Collaboration Tools,Commercial,General,Residential,Retail,Artificial Intelligence,Data Analytics,Machine Learning,management,Planning",https://www.urban-dashboard.info/,2019
Israel,Professional Compliance and Regulatory Software,1-10,Bootstrapped,"Batsra, Israel","https://www.linkedin.com/company/hito-system-ltd/,https://www.facebook.com/hitotracer",HITO Systems,Global,,,"Safety & Training,Operational Data & Analytics,Management & Collaboration Tools,Manage & Operate,General,Cloud,compliance,Data Analytics,enterprise-solution,monitoring,Project management,SaaS",http://hito-systems.com/,2016
Israel,MaxWeb customizes information systems for customer requirement at all environments: whether a local network or a multi-user environment.,1-10,Revenue Financed,"Mota Gur Street 4, Petah Tikva, Israel HaZor'im, Israel","https://www.linkedin.com/company/maxweb-ltd/,https://www.facebook.com/MAXwebLTD/",MAXweb,Israel,,,"Plan & Build,Management & Collaboration Tools,General,building maintenance,civil engineering,Cloud,enterprise-solution,Project management",https://maxweb.co.il/,2004
Israel,Re-Imagining Architectural & Building System Design,11-50,Pre-Seed,"Se'adya Ga'on St 24, Tel Aviv-Yafo",https://www.linkedin.com/company/beamup/about/,BeamUP,Global,,,"Smart Building,Safety & Training,Planning & Design Tools,Plan & Build,Advanced Building Methods,General,architecture,Artificial Intelligence,Interior Design",https://beamup.ai/,2019
Israel,Xenia is an automatic design tool that generates optimal floor plans in real time.,1-10,Seed,"Tuval Street 26, Ramat Gan, Israel",,XENIA,Global,,600K,"Virtual Tours,Smart Building,Planning & Design Tools,Plan & Build,Indoor Navigation,Retail,architecture,Artificial Intelligence,Cloud,Interior Design,Machine Learning,SaaS",https://www.xeniago.com/,2017
Israel,3D Technology for the Surveying and Mapping Industries,1-10,Bootstrapped,"Kibbutz Hahotrim, Israel",https://www.linkedin.com/company/onsightech/,OnSight,Israel,,,"Smart Building,Planning & Design Tools,Plan & Build,On-Site Execution,Advanced Building Methods,Commercial,General,Industrial,3D Modeling,ConTech,Mapping,scanning",https://onsight.tech/,2019
Israel,Corona-free Air Conditioning System for Transportation and Buildings,1-10,Pre-Seed,"Yosef Nedava Street 6, Jerusalem","https://www.linkedin.com/company/dolphin-vision/,https://www.facebook.com/dolphinvision/",Dolphin Vision,Asia,,"78,5K","Safety & Training,Maintenance Services,Commercial,General,Hospitality,Industrial,Retail,CleanTech,covid-19,elevator,filtration-and-purification,transportation",http://www.dolphinvision.net/,2018
Germany,"Enterprise grade, real-time software for hands-free field service collaboration using augmented reality and smart glasses.",11-50,A,"HaTidhar Street 15, Ra'anana, Israel","https://twitter.com/Fieldbit_AR,https://www.linkedin.com/company/fieldbit/,https://www.facebook.com/fieldbit",Fieldbit,Germany,"Netherlands, USA, Germany",2.8M,"Virtual Tours,Safety & Training,Planning & Design Tools,Plan & Build,On-Site Execution,Management & Collaboration Tools,General,Augmented Reality,Consumer Electronics,SaaS,smart-glasses,workforce management",https://www.fieldbit.net/,2013
United States,A multifamily chatbot that improves lead quality and increases leasing velocity.,11-50,Pre-Seed,"3423 Piedmont Rd NE, Atlanta, GA 30305","https://twitter.com/BeeBeeTheBot,https://www.linkedin.com/company/betterbot/,https://www.facebook.com/BeeBeeTheBot/",BetterBot,United States,,,"Tenant Experience,Operational Data & Analytics,Manage & Operate,Leasing & Asset Management,Residential,Artificial Intelligence,Chatbot,Lead Management,Marketing",https://betterbot.com/,2018
Israel,End-to-end Commercial Real Estate Lending Solution,1-10,NA,"144 Menachem Begin, Floor 34, Tel Aviv, IL",https://www.linkedin.com/company/iharmonicre/,iHarmoni,United States,"40 Wall Street Ct, Manhattan, New York 10005, US",,"Loan Management,Invest & Finance,Buy Sell & Rent,Residential",https://www.iharmonicre.com/,2020
Israel,"A network of clean, safe, inspiring neighborhood workspaces you can use to do your best work.",11-50,NA,,"https://twitter.com/gable_inc,https://www.linkedin.com/company/gable-inc/,https://www.facebook.com/gable.inc",Gable,United States,,,"Manage & Operate,Flexible Workplace & Coworking,Commercial",https://www.gable.to/,2020
United States,"Award-winning platform designed to help hoteliers build revenue, save time and increase guest satisfaction.",251-500,C+,"3033 Fifth Avenue, Suite 100 San Diego, CA 92103","https://www.linkedin.com/company/cloudbeds/?trk=company_name/,https://www.facebook.com/Cloudbeds/",Cloudbeds,Global,,$98.4M,"Property Management,NextGen Hospitality,Management & Collaboration Tools,Hospitality,Property Management,SaaS",https://www.cloudbeds.com/,2012
Israel,Reinventing the way people live together,11-50,NA,"New York, United States","https://www.linkedin.com/company/daisyliving/,https://www.facebook.com/LiveWithDaisy/?ref=page_internal",Daisy,United States,,,"Tenant Experience,Property Management,Manage & Operate",https://www.joindaisy.com/,2020
